0,0,-66,67
14,126,0,0
3,11,-1,8
28,-123,-7,10
-5,-54,-1,4
15,91,-10,-4
-78,432,13,-5
56,455,-25,-4
-5,18,12,-12
0,0,1,12
49,-68,-33,16
19,-51,-6,15
-2,-577,0,14
-11,-219,-29,3
18,-24,-11,26
-42,-66,13,-4
-42,390,16,-9
-34,78,22,-33
9,33,-6,0
48,39,-16,-5
46,-107,-12,5
35,-41,-19,-17
18,-285,-21,10
20,36,-10,2
10,222,-10,14
11,172,10,-34
44,-238,-3,-24
1,-371,18,-5
68,-236,0,34
-35,-242,11,21
45,8,-17,24
19,-104,-16,1
-3,-20,0,-5
-23,46,4,5
-117,181,39,-17
-105,227,38,-15
13,323,6,-17
34,6,-1,-10
111,-72,-46,-14
-40,202,-9,-11
-153,623,21,7
61,-12,-10,1
-216,237,42,0
-191,46,72,-6
109,-653,-58,43
65,-516,-30,-33
-4,35,2,-1
3,-1,-8,-10
-16,192,1,-26
3,72,4,2
232,-914,-64,-66
84,-569,-32,-54
-85,451,19,-64
-104,-435,4,-66
-49,-314,10,-43
79,-642,-14,50
41,69,-2,-8
-18,283,6,-13
-45,194,-24,-8
-148,-235,17,-13
-193,450,58,-14
35,-42,23,15
-17,-35,7,13
-56,288,-28,15
39,-902,25,-25
-195,592,28,-18
-30,-731,9,1
-4,32,-3,2
-60,181,23,-5
-58,-118,13,-2
-80,197,25,-5
-106,276,34,6
98,-237,-15,15
-85,264,21,12
57,-452,-12,19
-1,3,1,13
21,108,2,-4
-117,-307,6,-15
0,0,0,9
0,0,0,-1
0,0,0,17
30,52,-20,0
46,-311,-35,11
11,-70,-14,11
7,-193,-33,-16
10,-118,-5,4
15,-86,-21,3
0,0,0,0
2,15,0,0
14,-3,-14,0
0,2,0,5
34,-87,-8,0
4,-21,-8,1
51,-140,-25,0
-9,63,5,17
-12,37,5,4
84,-302,-29,2
0,0,0,0
0,-27,-3,0
14,-81,-5,12
12,-6,0,-3
5,6,0,0
-78,162,23,0
-7,94,-23,27
36,11,-36,11
-26,-69,11,-20
-4,-408,8,-17
1,52,-2,6
-8,-131,-27,-13
-46,-58,25,0
23,-21,-10,12
-35,-62,7,0
7,-45,-14,8
16,54,11,0
15,-39,-8,18
7,54,-1,12
32,-329,-19,-20
-13,75,2,2
0,3,1,0
82,-513,-13,0
0,0,-2,0
0,0,1,0
0,0,-1,0
71,-78,-21,14
2,231,0,39
188,-813,-45,8
7,-65,-2,-7
41,-173,-12,25
-5,13,2,1
31,97,-16,-5
56,-63,-14,-1
-22,187,-11,0
-12,102,-1,23
40,-87,-30,28
26,-129,-14,15
2,8,6,8
16,-129,12,-10
-42,177,19,5
0,0,0,-2
8,-46,-2,2
-11,39,19,7
-7,14,-17,-2
7,-39,-6,5
14,-17,-4,1
11,-26,-4,-3
10,-17,-11,23
-13,-161,4,-13
0,6,5,27
2,-16,-5,23
0,5,4,-8
9,-54,-1,12
9,-23,-2,0
31,-152,-8,-3
-13,52,10,2
45,-153,-7,-10
43,57,-13,-10
100,404,-40,16
84,444,-39,30
48,65,-21,-1
-55,429,0,14
-92,493,7,8
-143,-105,45,-26
-52,93,23,-35
17,-41,-11,-25
30,-76,-17,10
17,-5,-10,-15
-23,137,7,-1
11,57,-18,6
-53,-169,7,29
21,-202,0,19
34,-433,-36,-4
-46,-339,21,-9
59,-524,-39,-1
-34,-264,-3,-10
-52,59,14,0
-49,14,24,0
-77,231,11,5
-3,15,0,15
106,-10,-33,26
11,-42,-4,-12
-25,-35,-4,-4
5,63,6,25
1,-14,2,-4
-24,29,14,-2
-11,70,8,-5
12,-59,-3,0
19,-72,-5,-5
0,0,4,-2
34,-72,-12,-9
3,-10,-1,-2
-13,36,3,-2
0,0,0,0
2,-13,-10,0
0,-400,-12,2
0,0,0,0
0,0,-1,0
0,0,0,0
0,0,0,0
2,-65,0,0
-45,-120,9,-5
13,-39,-10,1
15,-45,-2,4
27,-92,-7,-3
7,-43,0,2
-13,42,-2,0
27,-218,-8,6
12,-37,-3,0
-24,-101,0,-3
0,0,0,0
0,0,0,0
0,0,0,0
1,9,0,-5
-16,84,4,0
0,0,0,0
23,-70,-7,-1
0,0,5,-1
4,-32,-4,-3
2,-8,0,0
0,0,0,0
4,1,-2,0
-19,-230,0,0
0,0,0,1
28,-177,-12,-3
0,5,-1,0
0,-2,0,-5
-9,43,3,0
0,0,0,-1
0,0,0,0
-6,-53,1,0
-2,-18,0,0
16,106,-2,1
24,-9,-6,0
-2,-17,0,-14
-16,-26,3,-6
0,0,0,0
105,-103,-40,-10
19,-72,-12,-14
-56,55,18,9
0,0,0,9
20,-60,-4,0
10,-32,-4,1
0,0,0,3
0,0,0,-1
0,0,0,-1
19,-24,-11,7
195,-499,-51,0
53,147,-17,10
14,113,0,0
20,146,-4,5
31,107,-22,-10
95,33,-42,7
27,318,4,9
49,440,-6,-29
-37,373,9,-38
34,62,-5,-47
-17,245,5,-35
24,-29,-8,-44
-18,301,12,-35
-50,111,34,-46
-18,-62,12,-16
14,-68,-5,-32
39,39,-18,-53
21,-62,-7,-41
-20,-72,13,-43
54,120,-30,-24
178,-129,-71,-18
85,209,-47,-30
15,251,-24,-88
0,243,-12,-66
30,346,-15,-40
-29,646,9,-29
82,164,-45,11
47,272,-15,-50
0,182,7,-35
58,118,-34,-56
20,-71,-31,-23
-59,-91,29,-63
55,408,-16,71
-7,-199,5,-17
-49,-93,26,-20
5,3,3,-16
